data;hora;temperatura_c;umidade_pct;reservatorio_pct
19/08/2026;21:00;24,2;61,9;88
19/08/2026;22:00;23,1;61,8;88
19/08/2026;23:00;21,3;61,7;88
20/08/2026;00:00;19,2;61,5;88
20/08/2026;01:00;18,1;61,4;88
20/08/2026;02:00;17,5;61,6;88
20/08/2026;03:00;17,9;61,2;88
20/08/2026;04:00;17,6;61,3;88
20/08/2026;05:00;19,1;60,7;88
20/08/2026;06:00;20,0;60,6;88
20/08/2026;07:00;22,0;60,1;88
20/08/2026;08:00;23,4;59,1;88
20/08/2026;09:00;23,9;58,3;88
20/08/2026;10:00;25,9;56,6;88
20/08/2026;11:00;27,2;55,0;88
20/08/2026;12:00;29,3;53,2;88
20/08/2026;13:00;30,2;51,6;88
20/08/2026;14:00;30,1;49,8;88
20/08/2026;15:00;31,3;47,8;88
20/08/2026;16:00;30,5;45,7;88
20/08/2026;17:00;30,1;43,9;88
20/08/2026;18:00;29,6;41,9;88
20/08/2026;19:00;27,3;41,2;88
20/08/2026;20:00;26,2;40,4;88
20/08/2026;21:00;24,9;40,1;88
20/08/2026;22:00;23,6;40,1;88
20/08/2026;23:00;21,1;39,6;88
21/08/2026;00:00;19,3;39,4;88
21/08/2026;01:00;18,1;39,1;88
21/08/2026;02:00;18,6;38,9;88
21/08/2026;03:00;18,6;38,9;88
21/08/2026;04:00;18,5;38,6;88
21/08/2026;05:00;19,0;38,5;88
21/08/2026;06:00;20,4;37,9;88
21/08/2026;07:00;21,2;36,9;88
21/08/2026;08:00;22,1;35,9;88
21/08/2026;09:00;24,7;34,2;88
21/08/2026;10:00;26,7;32,8;88
21/08/2026;11:00;27,6;61,1;75
21/08/2026;12:00;28,3;59,4;75
21/08/2026;13:00;29,6;57,8;75
21/08/2026;14:00;30,1;55,6;75
21/08/2026;15:00;30,4;53,8;75
21/08/2026;16:00;30,6;51,5;75
21/08/2026;17:00;29,5;49,6;75
21/08/2026;18:00;29,2;47,5;75
21/08/2026;19:00;28,3;46,6;75
21/08/2026;20:00;25,8;46,2;75
21/08/2026;21:00;24,3;45,4;75
21/08/2026;22:00;23,6;45,3;75
21/08/2026;23:00;20,7;45,3;75
22/08/2026;00:00;19,5;45,1;75
22/08/2026;01:00;19,0;45,1;75
22/08/2026;02:00;17,4;45,1;75
22/08/2026;03:00;17,8;44,9;75
22/08/2026;04:00;18,9;44,5;75
22/08/2026;05:00;18,9;44,3;75
22/08/2026;06:00;20,2;44,4;75
22/08/2026;07:00;21,9;43,3;75
22/08/2026;08:00;23,4;41,9;75
22/08/2026;09:00;24,3;40,8;75
22/08/2026;10:00;25,5;39,3;75
22/08/2026;11:00;27,0;38,1;75
22/08/2026;12:00;28,6;36,6;75
22/08/2026;13:00;29,9;35,0;75
22/08/2026;14:00;30,0;33,4;75
22/08/2026;15:00;30,4;61,5;63
22/08/2026;16:00;30,0;59,2;63
22/08/2026;17:00;30,3;57,5;63
22/08/2026;18:00;28,7;55,9;63
22/08/2026;19:00;27,5;55,6;63
22/08/2026;20:00;26,7;54,7;63
22/08/2026;21:00;24,4;54,2;63
22/08/2026;22:00;22,2;54,2;63
22/08/2026;23:00;21,0;54,2;63
23/08/2026;00:00;20,4;54,2;63
23/08/2026;01:00;18,1;53,7;63
23/08/2026;02:00;18,3;53,8;63
23/08/2026;03:00;18,1;54,0;63
23/08/2026;04:00;18,3;53,5;63
23/08/2026;05:00;19,5;53,2;63
23/08/2026;06:00;19,5;53,1;63
23/08/2026;07:00;20,7;52,1;63
23/08/2026;08:00;22,9;50,9;63
23/08/2026;09:00;24,2;49,9;63
23/08/2026;10:00;26,7;48,0;63
23/08/2026;11:00;28,3;46,0;63
23/08/2026;12:00;29,6;43,9;63
23/08/2026;13:00;29,7;42,0;63
23/08/2026;14:00;30,5;40,3;63
23/08/2026;15:00;30,2;38,5;63
23/08/2026;16:00;30,4;36,4;63
23/08/2026;17:00;30,9;34,4;63
23/08/2026;18:00;29,8;32,0;63
23/08/2026;19:00;28,5;61,5;50
23/08/2026;20:00;25,7;61,3;50
23/08/2026;21:00;24,0;61,1;50
23/08/2026;22:00;23,0;60,4;50
23/08/2026;23:00;21,8;60,1;50
24/08/2026;00:00;20,1;59,6;50
24/08/2026;01:00;18,2;59,4;50
24/08/2026;02:00;18,9;59,0;50
24/08/2026;03:00;18,4;58,8;50
24/08/2026;04:00;17,7;58,5;50
24/08/2026;05:00;18,6;58,1;50
24/08/2026;06:00;20,7;57,9;50
24/08/2026;07:00;21,1;56,7;50
24/08/2026;08:00;23,2;55,9;50
24/08/2026;09:00;23,9;55,1;50
24/08/2026;10:00;26,8;53,3;50
24/08/2026;11:00;27,2;51,4;50
24/08/2026;12:00;29,9;49,4;50
24/08/2026;13:00;29,9;47,4;50
24/08/2026;14:00;30,2;45,8;50
24/08/2026;15:00;31,8;43,5;50
